date	pct_from_2000	pct_yoy
2000-02	0.0	
2000-04	2.9042386185243236	
2000-06	-1.4128728414442788	
2000-08	-3.0612244897959227	
2000-10	2.51177394034536	
2000-12	-5.180533751962329	
2001-02	0.7064364207221394	0.7064364207221452
2001-04	-4.631083202511778	-7.322654462242562
2001-06	-3.610675039246474	-2.2292993630573243
2001-08	-0.8634222919937272	2.267206477732797
2001-10	-0.7849293563579277	-3.215926493108723
2001-12	-5.965463108320257	-0.8278145695364225
2002-02	-1.9623233908948194	-2.6500389711613503
2002-04	1.4913657770800672	6.419753086419755
2002-06	1.0989010989011034	4.885993485342022
2002-08	3.76766091051804	4.6714172604908955
2002-10	2.7472527472527473	3.560126582278489
2002-12	-2.3547880690737832	3.8397328881469184
2003-02	0.3139717425431644	2.3218574859887875
2003-04	-2.5902668759811704	-4.021655065738605
2003-06	-4.395604395604402	-5.434782608695665
2003-08	-6.0439560439560465	-9.455370650529494
2003-10	0.15698587127157662	-2.521008403361358
2003-12	-5.4945054945054945	-3.2154340836012874
2004-02	-5.1020408163265305	-5.399061032863839
2004-04	1.5698587127158554	4.2707493956486875
2004-06	-0.15698587127158778	4.4334975369458185
2004-08	0.2354788069073761	6.683375104427736
2004-10	3.2967032967032877	3.1347962382445083
2004-12	-5.023547880690742	0.4983388704318914
2005-02	-4.395604395604402	0.7444168734491274
2005-04	3.8461538461538507	2.2411128284389514
2005-06	-5.337519623233917	-5.188679245283023
2005-08	-5.729984301412881	-5.951448707909169
2005-10	-4.47409733124019	-7.522796352583583
2005-12	-3.767660910518062	1.3223140495867813
2006-02	-8.712715855573004	-4.51559934318555
2006-04	4.081632653061215	0.22675736961450532
2006-06	-2.8257456828885466	2.6533996683250516
2006-08	2.119309262166396	8.326394671107407
2006-10	2.7472527472527473	7.559572719802787
2006-12	1.883830455259031	5.872756933115841
2007-02	1.9497645211930772	11.680137575236449
2007-04	11.927001569858707	7.5377073906485625
2007-06	3.723704866562009	6.739903069466879
2007-08	3.4183673469387674	1.2720983858570234
2007-10	10.018838304552576	7.077158135981643
2007-12	3.748822605965449	1.8305084745762423
2008-02	7.10125588697017	5.0529703427674155
2008-04	8.065149136577713	-3.4503313580420025
